# Opcode function names for src/cpu/cpu_instr.c (Ronny, 21-SEP-2026).
# Format: opcode_<mnemonic>_<what it does>. The mnemonic keeps the function
# greppable against the ND-100 manual; the rest says what it does without
# needing the manual. Meanings are taken from docs/cpu_documentation.md.
# old	new
ndfunc_aaa	opcode_aaa_add_argument_to_a
ndfunc_cnrek	opcode_cnrek_clear_non_reentrant_pages_sintran_k
ndfunc_clpt	opcode_clpt_clear_segment_from_page_tables
ndfunc_enpt	opcode_enpt_enter_segment_in_page_tables
ndfunc_rept	opcode_rept_enter_reentrant_segment_in_page_tables
ndfunc_lbit	opcode_lbit_load_bit_accumulator_from_logical_memory
ndfunc_lbitp	opcode_lbitp_load_bit_accumulator_from_physical_memory
ndfunc_sbit	opcode_sbit_store_bit_accumulator_to_logical_memory
ndfunc_sbitp	opcode_sbitp_store_bit_accumulator_to_physical_memory
ndfunc_lbytp	opcode_lbytp_load_byte_from_physical_memory
ndfunc_sbytp	opcode_sbytp_store_byte_in_physical_memory
ndfunc_tsetp	opcode_tsetp_test_and_set_physical_word
ndfunc_rdusp	opcode_rdusp_read_physical_word_bypassing_cache
ndfunc_lasb	opcode_lasb_load_a_from_segment_table_bank
ndfunc_sasb	opcode_sasb_store_a_in_segment_table_bank
ndfunc_lacb	opcode_lacb_load_a_from_core_map_bank
ndfunc_sacb	opcode_sacb_store_a_in_core_map_bank
ndfunc_lxsb	opcode_lxsb_load_x_from_segment_table_bank
ndfunc_lxcb	opcode_lxcb_load_x_from_core_map_bank
ndfunc_szsb	opcode_szsb_store_zero_in_segment_table_bank
ndfunc_szcb	opcode_szcb_store_zero_in_core_map_bank
ndfunc_init	opcode_init_initialize_stack
ndfunc_entr	opcode_entr_enter_stack
ndfunc_leave	opcode_leave_leave_stack
ndfunc_eleav	opcode_eleav_error_leave_stack
ndfunc_lbyt	opcode_lbyt_load_byte_to_a_register
ndfunc_sbyt	opcode_sbyt_store_byte_from_a_register
ndfunc_mix3	opcode_mix3_multiply_index_by_three
ndfunc_halt	opcode_halt
ndfunc_addd	opcode_addd_add_two_decimal_operands
ndfunc_subd	opcode_subd_subtract_two_decimal_operands
ndfunc_comd	opcode_comd_compare_two_decimal_operands
ndfunc_pack	opcode_pack_convert_to_decimal
ndfunc_unpack	opcode_unpack_convert_from_decimal
ndfunc_shde	opcode_shde_decimal_shift
ndfunc_versn	opcode_versn_read_cpu_version
ndfunc_lwcs	opcode_lwcs_load_writable_control_store
ndfunc_movb	opcode_movb_move_byte
ndfunc_movbf	opcode_movbf_move_bytes_forward
ndfunc_bfill_new	opcode_bfill_new_byte_fill
